,Release date,Availability - Officially announced,Availability - Prices (MSRP),Availability - Expected nnouncement,Design - Dimensions,Design - Materials,Design - Resistance,Design - Biometrics,Design - Keys,Design - Colors,Design - Weight,Design - Features,Design - Phone functionality,Design - Tablet dock,Design - Dock Features,Display - Size,Display - Type,Display - Resolution,Display - Protection,Display - Features,Display - Colors,Display - Additional display,Hardware - System chip,Hardware - Processor,Hardware - GPU,Hardware - Memory,Hardware - Storage expansion,Hardware - OS,Battery - Type,Battery - Charging,Battery - Charge speed,Camera - Rear,Camera - Main camera,Camera - Second camera,Camera - Video recording,Camera - Front,Camera - Third camera,Camera - Flash,Camera - Fourth camera,Connectivity & Features - Bluetooth,Connectivity & Features - WLAN,Connectivity & Features - USB,Connectivity & Features - Sensors,Connectivity & Features - Location,Connectivity & Features - Other,Connectivity & Features - Hearing aid compatible,Connectivity & Features - HDMI,Multimedia - Headphones,Multimedia - Speakers,Multimedia - Screen mirroring,Multimedia - Additional microphone(s),Multimedia - Features,Multimedia - Radio,Multimedia - Broadcast Mobile TV,Cellular - 5G Bands,Cellular - LTE Bands,Cellular - TDD Bands,Cellular - Data Speed,Cellular - SIM type,Cellular - Dual SIM,Cellular - 3G Bands,Cellular - HD Voice,Cellular - VoLTE,Regulatory Approval - FCC approval,Regulatory Approval - Measured SAR,Phone Features - Notifications,Phone Features - Other features
Sony Xperia XZ,"Oct 02, 2016","Sep 01, 2016",,,5.75 x 2.83 x 0.32 inches 146 x 72 x 8.1 mm,Back: Aluminum,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gray, Pink, Blue",5.68 oz / 161.0 g,,,,,"5.2-inch, 71.00% screen-to-body",IPS LCD,"1920x1080px, 424 PPI",Corning Gorilla Glass 4,,16 777 216,,Snapdragon 820 MSM8996 (14 nm),Quad-core2150 MHzKryo,Adreno 530,3GB/32GB3GB/64GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.1 Nougat, 7.0 Nougat, 6.0 Marshmallow)",2900 mAh,Qualcomm Quick Charge 3.0,,Single camera,"23 MP (Laser and PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""",,"4K UHD (30 fps), 1080p (60 fps)Time-lapse video, Object tracking, EIS, Video calling, Video sharing",13 MP (Wide Angle)Video capture: 1080p,,LED,,4.2,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, UMA (Wi-Fi Calling), Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",Noise cancellation,"Album art cover, Background playback",,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29","38, 39, 40, 41","LTE-A Cat 9 (450/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"6, 5, 8, 4, 2, 1",,,"Date approved: Feb 14, 2017FCC ID value: PY7-29752M",Head: 0.53 W/kgBody: 0.35 W/kgSimultaneous Transmission: 1.47 W/kgWireless Router: 0.80 W/kg,Haptic feedback,"Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia X Compact,"Sep 08, 2016","Sep 01, 2016",,,5.08 x 2.56 x 0.37 inches 129 x 65 x 9.5 mm,,,Fingerprint (touch),"Left: Volume control, Camera shutter, Lock/Unlock key; Right: Volume control, Lock/Unlock key","Black, Blue, White",4.76 oz / 135.0 g,,,,,"4.6-inch, 69.53% screen-to-body",IPS LCD,"1280x720px, 319 PPI",Corning Gorilla Glass 4,Oleophobic coating,16 777 216,,Snapdragon 650 8956,Hexa-core1800 MHzARM Cortex-A72 and ARM Cortex-A53,Adreno 510,3GB (LPDDR3)/32GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.0 Nougat, 6.0 Marshmallow)","2700 mAh, Li - Ion",Qualcomm Quick Charge 3.0,,Single camera,"23 MP (CMOS image sensor, Laser and PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""",,"1080p (60 fps)Video light, EIS, Video calling, Video sharing",5 MP (Wide Angle)Video capture: 1080p,,LED,,4.2,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac",Type-C,"Accelerometer, Gyroscope, Pedometer, Compass, Barometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, UMA (Wi-Fi Calling), Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,"Album art cover, Background playback",,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28","38, 39, 40, 41","LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"6, 5, 8, 4, 2, 1",,,"Date approved: Jan 31, 2017FCC ID value: PY7-14784Z",Head: 0.66 W/kgBody: 0.72 W/kgSimultaneous Transmission: 1.15 W/kgWireless Router: 0.97 W/kg,Haptic feedback,"Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XA Ultra,"Jul 24, 2016","May 16, 2016",,,6.46 x 3.11 x 0.33 inches 164 x 79 x 8.4 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, White",7.13 oz / 202.0 g,,,,,"6.0-inch, 76.57% screen-to-body",IPS LCD,"1920x1080px, 367 PPI",,,16 777 216,,MediaTek Helio P10 MT6755,Octa-core2000 MHzARM Cortex-A53,Mali-T860 MP2,3GB (LPDDR3)/16GB,microSDXC up to 200 GB,Android (6.0 Marshmallow),"2700 mAh, Li - Ion",MediaTek Pump Express,,Single camera,"21.5 MP (CMOS image sensor, PDAF)Aperture size: F2.2Sensor size: 1/2.4""",,"1080p (30 fps)Time-lapse video, Object tracking, Video calling, Video sharing","16 MP (OIS, Autofocus, Flash, HDR)Video capture: 1080p",,LED,,4.1,"b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS",NFC,,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",Noise cancellation,"Album art cover, Background playback","FM, RDS",,,"2, 4, 5, 7, 12, 13, 17, 28",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 4, 2, 1",,,"Date approved: Dec 01, 2016FCC ID value: PY7-PM0954",Head: 0.27 W/kgBody: 0.39 W/kgSimultaneous Transmission: 1.36 W/kgWireless Router: 0.85 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia E5,"Jun 30, 2016","May 31, 2016",,,5.65 x 2.73 x 0.31 inches 143.6 x 69.45 x 7.99 mm,,,,"Right: Volume control, Lock/Unlock key","Black, White",5.19 oz / 147.0 g,,,,,"5.0-inch, 69.26% screen-to-body",,"1280x720px, 294 PPI",,,16 777 216,,MediaTek MT6735,Quad-core1300 MHzARM Cortex-A53,Mali-T720 MP2,1.5GB (LPDDR3)/16GB,microSDXC up to 200 GB,Android (6.0 Marshmallow),2300 mAh,,,Single camera,13 MP (Autofocus),,"YesObject tracking, Video calling, Video sharing",5 MP,,LED,,4.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,"Album art cover, Background playback",FM,,,"1, 2, 3, 5, 7, 8, 20",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia X Performance,"Jun 23, 2016","Feb 22, 2016",,,5.67 x 2.76 x 0.34 inches 144 x 70 x 8.7 mm,Frame: Metal,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Pink, White",5.82 oz / 165.0 g,,,,,"5.0-inch, 66.93% screen-to-body",IPS LCD,"1920x1080px, 441 PPI",,,16 777 216,,Snapdragon 820 MSM8996,Quad-core2150 MHzKryo,Adreno 530,3GB (LPDDR4)/32GB3GB/64GB,microSDXC up to 200 GB,"Android (8.0 Oreo, 7.1 Nougat, 7.0 Nougat, 6.0 Marshmallow)","2700 mAh, Li - Ion",Qualcomm Quick Charge 2.0,,Single camera,"23 MP (PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""",,"YesTime-lapse video, Continuous autofocus, Object tracking, EIS, Video calling, Video sharing",13 MPVideo capture: 1080p,,LED,,4.2,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",,"Album art cover, Background playback",,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29","38, 39, 40, 41","LTE-A Cat 9 (450/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"6, 5, 8, 4, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XA,"Jun 20, 2016","Feb 22, 2016",,,5.65 x 2.63 x 0.31 inches 143.6 x 66.8 x 7.9 mm,Frame: Metal,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Green, White",4.85 oz / 137.4 g,,,,,"5.0-inch, 71.89% screen-to-body",,"1280x720px, 294 PPI",,,,,MediaTek Helio P10 MT6755 (28 nm),Octa-core2000 MHzARM Cortex-A53,Mali-T860 MP2,2GB (LPDDR3)/16GB,microSDXC up to 200 GB,"Android (7.0 Nougat, 6.0 Marshmallow)",2300 mAh,MediaTek Pump Express,,Single camera,"13 MP (BSI sensor, PDAF)Aperture size: F2.0Sensor size: 1/3""",,"YesEIS, Video calling, Video sharing",8 MP (Autofocus)Video capture: 1080p,,LED,,4.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS","NFC, UMA (Wi-Fi Calling), Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",,"Album art cover, Background playback, Music recognition, Custom equalizer","FM, Stereo, RDS",,,"1, 3, 5, 7, 8, 28","38, 39, 40, 41","LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia X,"May 23, 2016","Feb 22, 2016",,,5.63 x 2.72 x 0.30 inches 143 x 69 x 7.7 mm,Frame: Metal,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Pink, White",5.36 oz / 152.0 g,,,,,"5.0-inch, 69.63% screen-to-body",IPS LCD,"1920x1080px, 441 PPI",,Oleophobic coating,16 777 216,,Snapdragon 650 8956,Hexa-core1800 MHzARM Cortex-A72 and ARM Cortex-A53,Adreno 510,3GB/32GB3GB/64GB,microSDXC up to 200 GB,"Android (8.0 Oreo, 7.0 Nougat, 6.0 Marshmallow)","2620 mAh, Li - Ion",Qualcomm Quick Charge 2.0,,Single camera,"23 MP (PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"1080p (60 fps)Time-lapse video, Object tracking, EIS, Video calling, Video sharing",13 MPVideo capture: 1080p,,LED,,4.2,"a,b,g,n,ac,dual-bandWi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, UMA (Wi-Fi Calling), Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",,"Album art cover, Background playback, Preset equalizer",FM,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28","38, 39, 40, 41","LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"6, 5, 8, 4, 2, 1",Yes,Yes,"Date approved: Oct 09, 2016FCC ID value: PY7-PM0930",Head: 0.97 W/kgBody: 0.91 W/kgSimultaneous Transmission: 1.36 W/kgWireless Router: 0.97 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z5 Premium,"Nov 05, 2015","Sep 02, 2015",,,6.08 x 2.99 x 0.31 inches 154.4 x 76 x 7.8 mm,Back: GlassFrame: Metal,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Silver, Pink",6.35 oz / 180.0 g,,,,,"5.5-inch, 71.10% screen-to-body",IPS LCD,"3840x2160px, 801 PPI",Tempered Glass,Oleophobic coating,16 777 216,,Snapdragon 810 MSM8994,Octa-core2000 MHzARM Cortex-A57 and ARM Cortex-A53,Adreno 430,3GB (LPDDR4)/32GB,microSDXC up to 200 GB,"Android (7.0 Nougat, 6.0 Marshmallow, 5.1 Lollipop)",3430 mAh,Qualcomm Quick Charge 2.0,,Single camera,"23 MP (PDAF)Sensor size: 1/2.3""",,"4K UHDTime-lapse video, Object tracking, EIS, Video calling, Video sharing",5 MPVideo capture: 1080p,,LED,,4.1,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Pedometer, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL,MirrorLink",,"Album art cover, Background playback, Music recognition",FM,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28","38, 40","LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,,"Date approved: Apr 09, 2016FCC ID value: PY7-PM0911",Head: 0.36 W/kgBody: 0.39 W/kgSimultaneous Transmission: 0.85 W/kgWireless Router: 0.81 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z5,"Oct 02, 2015","Sep 02, 2015",,,5.75 x 2.83 x 0.29 inches 146 x 72 x 7.3 mm,Back: GlassFrame: Metal,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Pink, Green, White",5.43 oz / 154.0 g,,,,,"5.2-inch, 71.00% screen-to-body",IPS LCD,"1920x1080px, 424 PPI",Tempered Glass,Oleophobic coating,16 777 216,,Snapdragon 810 MSM8994,Octa-core2000 MHzARM Cortex-A57 and ARM Cortex-A53,Adreno 430,3GB (LPDDR4)/32GB,microSDXC up to 200 GB,"Android (7.1 Nougat, 7.0 Nougat, 6.0 Marshmallow, 5.1 Lollipop)","2900 mAh, Li - Ion",Qualcomm Quick Charge 2.0,,Single camera,"23 MP (PDAF)Focal length: 24 mmSensor size: 1/2.3""",,"4K UHDContinuous autofocus, Video calling",5 MPVideo capture: 1080p,,LED,,4.1,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Pedometer, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share,MHL,MirrorLink",,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28","38, 40","LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,,"Date approved: Sep 13, 2015FCC ID value: PY7-PM0901",Head: 0.55 W/kgBody: 0.59 W/kgSimultaneous Transmission: 1.16 W/kgWireless Router: 0.64 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z5 Compact,"Sep 30, 2015","Sep 02, 2015",,,5.00 x 2.56 x 0.35 inches 127 x 65 x 8.9 mm,Back: GlassFrame: Plastic,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Pink, Yellow, White",4.87 oz / 138.0 g,,,,,"4.6-inch, 70.64% screen-to-body",IPS LCD,"1280x720px, 319 PPI",Tempered Glass,Oleophobic coating,16 777 216,,Snapdragon 810 MSM8994,Octa-core2000 MHzARM Cortex-A57 and ARM Cortex-A53,Adreno 430,2GB (LPDDR4)/32GB,microSDXC up to 200 GB,"Android (6.0 Marshmallow, 5.1 Lollipop)",2700 mAh,Qualcomm Quick Charge 2.0,,Single camera,"23 MP (PDAF)Sensor size: 1/2.3""",,"4K UHDObject tracking, EIS, Video calling, Video sharing",5 MPVideo capture: 1080p,,LED,,4.1,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Pedometer, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL,MirrorLink",,"Album art cover, Background playback, Music recognition",FM,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28","38, 40","LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,,"Date approved: Sep 15, 2015FCC ID value: PY7-PM0881",Head: 0.97 W/kgBody: 0.61 W/kgSimultaneous Transmission: 1.18 W/kgWireless Router: 0.72 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia M5,"Sep 01, 2015","Aug 03, 2015",,,5.71 x 2.83 x 0.30 inches 145 x 72 x 7.6 mm,Back: PlasticFrame: Metal,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, White",5.03 oz / 142.5 g,,,,,"5.0-inch, 66.11% screen-to-body",IPS LCD,"1920x1080px, 441 PPI",,,16 777 216,,MediaTek Helio X10 MT6795,Octa-core2000 MHzARM Cortex-A53,PowerVR G6200,3GB (LPDDR3)/16GB,microSDXC up to 200 GB,"Android (6.0 Marshmallow, 5.0 Lollipop)",2600 mAh,,,Single camera,21.5 MP (PDAF)Aperture size: F2.2,,"4K UHDEIS, Video calling, Video sharing","13 MP (Autofocus, HDR)Video capture: 1080p",,LED,,4.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",,"Album art cover, Background playback","FM, Stereo, RDS",,,"1, 3, 5, 7, 8, 20",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia C5 Ultra,"Aug 14, 2015","Aug 03, 2015",,,6.46 x 3.13 x 0.32 inches 164.2 x 79.6 x 8.2 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Green, White",6.60 oz / 187.0 g,,,,,"6.0-inch, 76.08% screen-to-body",IPS LCD,"1920x1080px, 367 PPI",,,16 777 216,,MediaTek MT6752,Octa-core1700 MHzARM Cortex-A53,Mali-T760 MP2,2GB (LPDDR3)/16GB,microSDXC up to 200 GB,Android (5.0 Lollipop),2930 mAh,,,Single camera,13 MP (Autofocus),,"1080p (30 fps)EIS, Video calling, Video sharing","13 MP (Autofocus, Flash, HDR)Video capture: 1080p",,LED,,4.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",,"Album art cover, Background playback, Music recognition, Custom equalizer, Preset equalizer","FM, RDS",,,"1, 3, 5, 7, 8, 28",40,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia Z4v,No information,"Jun 16, 2015",,,5.69 x 2.85 x 0.34 inches 144.4 x 72.3 x 8.6 mm,Back: GlassFrame: Metal,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, White",5.64 oz / 160.0 g,,,,,"5.2-inch, 71.25% screen-to-body",IPS LCD,"2560x1440px, 565 PPI",,,16 777 216,,Snapdragon 810 MSM8994,Octa-core2000 MHzARM Cortex-A57 and ARM Cortex-A53,Adreno 430,3GB (LPDDR4)/32GB,microSDXC up to 128 GB,"Android (5.1 Lollipop, 5.0 Lollipop)",3000 mAh,Qi and Powermat wireless charging,,Single camera,"20.7 MP (Autofocus, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"4K UHD (30 fps), 1080p (60 fps)HDR, Continuous autofocus, Picture-taking during video recording, EIS, Video calling",5 MP (HDR)Video capture: 1080p,,LED,,4.1,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Gesture, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",M4/T3,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL","Noise cancellation, Video recording","Album art cover, Background playback","FM, RDS",,,"1, 2, 3, 4, 5, 7, 13, 20",,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,Yes,"Date approved: Jun 01, 2015FCC ID value: PY7-PM0841",Head: 0.87 W/kgBody: 0.64 W/kgSimultaneous Transmission: 1.58 W/kgWireless Router: 0.97 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z3+,"Jun 11, 2015","May 26, 2015",,,5.76 x 2.83 x 0.27 inches 146.3 x 71.9 x 6.9 mm,Back: GlassFrame: Metal,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Brown, Green, White",5.08 oz / 144.0 g,,,,,"5.2-inch, 70.88% screen-to-body",IPS LCD,"1920x1080px, 424 PPI",,,16 777 216,,Snapdragon 810 MSM8994,Octa-core2000 MHzARM Cortex-A57 and ARM Cortex-A53,Adreno 430,3GB (LPDDR4)/32GB,microSDXC up to 128 GB,"Android (7.1 Nougat, 7.0 Nougat, 6.0 Marshmallow, 5.0 Lollipop)",2930 mAh,Qualcomm Quick Charge 2.0,,Single camera,"20.7 MP (Autofocus, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"4K UHD (30 fps), 1080p (60 fps)HDR, Continuous autofocus, Picture-taking during video recording, EIS, Video calling",5 MP (HDR)Video capture: 1080p,,LED,,4.1,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Gesture, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",M3/T3,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL","Noise cancellation, Video recording","Album art cover, Background playback","FM, RDS",,,,,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,,,Yes,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
